0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y
995.32,224.094,992.387,344.906,907.054,344.962,877.542,468.465,836.439,577.274,1071.79,344.923,1098.37,456.743,1133.63,556.805,986.487,580.344,939.368,580.327,910.035,765.784,883.414,951.121,1036.51,580.328,1048.33,774.525,1066.01,968.859,977.534,203.681,1015.91,212.392,951.224,227.188,1033.61,238.938,1095.39,1024.84,1112.97,1018.76,1048.3,977.751,827.535,998.198,818.774,980.618,895.263,965.89
995.252,221.335,995.202,347.788,907.062,347.833,880.418,474.371,839.28,586.186,1071.81,347.848,1095.5,459.523,1130.74,574.273,983.542,586.193,936.444,583.291,909.965,765.69,883.42,951.135,1030.69,583.309,1048.31,771.663,1068.74,971.683,974.84,203.597,1015.86,209.518,951.244,227.13,1030.7,235.992,1095.31,1024.79,1110.11,1015.96,1048.41,977.795,827.524,998.2,821.612,980.602,895.289,965.9
995.252,221.335,995.202,347.788,907.062,347.833,880.418,474.371,839.28,586.186,1071.81,347.848,1095.5,459.523,1130.74,574.273,983.542,586.193,936.444,583.291,909.965,765.69,883.42,951.135,1030.69,583.309,1048.31,771.663,1068.74,971.683,974.84,203.597,1015.86,209.518,951.244,227.13,1030.7,235.992,1095.31,1024.79,1110.11,1015.96,1048.41,977.795,827.524,998.2,821.612,980.602,895.289,965.9
995.202,221.299,992.417,347.839,907.002,347.852,880.486,480.189,842.319,592.142,1071.86,347.873,1095.48,459.766,1127.77,577.531,986.487,589.11,939.347,583.318,909.978,765.738,883.4,951.117,1036.55,589.127,1048.28,780.429,1068.76,971.708,974.805,203.55,1015.84,209.462,951.228,224.338,1033.54,235.948,1095.32,1024.83,1110.15,1018.75,1048.42,977.784,830.395,998.19,821.646,980.597,895.243,965.853
992.402,221.236,995.194,350.711,906.978,350.762,880.489,480.285,851.037,598.101,1071.86,350.716,1095.47,468.47,1124.9,589.154,983.591,589.174,933.617,586.198,909.934,765.856,883.409,951.128,1033.64,589.163,1048.28,780.467,1068.75,971.738,974.749,200.816,1012.97,206.574,951.156,227.085,1030.69,236,1092.54,1024.8,1110.12,1015.95,1048.41,980.578,821.687,998.303,815.838,983.539,898.128,965.87
992.376,221.195,992.396,347.869,907.008,350.715,880.669,480.177,856.865,600.917,1071.8,347.877,1095.49,471.427,1121.96,595.087,980.604,594.97,933.459,592.107,909.934,765.667,883.396,951.177,1027.76,592.092,1048.32,780.468,1068.77,971.749,974.758,200.786,1012.94,206.533,951.173,227.074,1030.66,235.961,1095.3,1024.8,1110.13,1015.95,1048.41,980.601,818.681,998.377,812.97,986.475,898.138,965.94
992.308,221.174,995.208,350.729,906.985,350.754,883.451,480.362,857.032,601.02,1071.86,350.757,1095.52,477.268,1121.88,598.052,980.654,595.032,933.483,594.963,907.17,765.728,883.354,951.225,1030.62,594.982,1048.24,780.414,1068.79,971.687,974.696,200.813,1007.17,206.481,951.2,224.342,1027.75,233.059,1095.32,1024.78,1112.96,1015.94,1051.19,977.816,818.772,998.296,815.785,983.531,892.359,968.815
989.48,221.112,992.389,350.701,906.968,350.742,883.503,480.312,859.829,600.933,1071.84,347.871,1095.44,477.334,1121.89,598.096,977.799,594.988,930.578,592.13,907.121,765.719,883.38,951.178,1027.71,592.129,1048.23,780.409,1068.79,971.762,974.69,200.752,1007.14,203.638,951.171,224.288,1027.77,232.971,1092.55,1024.78,1110.13,1015.93,1051.22,980.618,818.753,998.277,815.784,983.528,895.234,965.935
989.476,218.36,995.213,350.737,906.955,350.782,883.581,483.137,860.009,601.035,1071.9,350.725,1095.42,477.364,1119.07,600.932,977.763,589.144,930.461,586.198,909.926,765.713,883.401,951.215,1027.73,589.127,1048.32,780.459,1068.8,971.774,974.673,200.679,1009.99,203.547,951.174,224.286,1030.61,230.088,1092.54,1024.81,1110.12,1015.97,1048.43,980.616,818.715,998.315,815.741,983.571,895.278,968.789
989.46,218.35,995.253,350.73,906.952,350.794,883.618,480.362,860.053,601.078,1071.96,350.784,1095.43,480.237,1119.06,600.927,977.825,589.185,930.597,589.13,907.166,765.726,883.398,951.225,1027.75,589.155,1048.3,777.522,1068.78,971.767,974.685,200.634,1010.03,203.547,951.129,224.209,1030.62,230.062,1095.31,1024.85,1110.14,1018.77,1048.39,980.596,818.685,998.263,815.748,983.506,895.283,968.804
